State,Country,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
AL,US,32.3182,-86.9023,4712,153,,4559.0,1.0,100.49271715714805,42538.0,620.0,3.247028862478777,907.2069614666307,13.157894736842106
AK,US,61.3707,-152.4044,314,9,147.0,305.0,2.0,52.530409921221114,9655.0,39.0,2.8662420382165603,1615.2264579279931,12.420382165605098
AS,US,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,5.3917075537822825,
AZ,US,33.7298,-111.4312,4724,180,539.0,4544.0,4.0,64.90154789642186,51045.0,566.0,3.8103302286198137,701.2911753541182,11.981371718882304
AR,US,34.9697,-92.3731,1744,38,703.0,1706.0,5.0,67.36121330523011,24141.0,291.0,2.1788990825688077,932.4352353219957,16.68577981651376
CA,US,36.1162,-119.6816,30491,1140,,29351.0,6.0,77.76606266683194,251614.0,4892.0,3.73880817290348,641.7313335689958,16.044078580564758
CO,US,39.0598,-105.3111,9047,389,,8658.0,8.0,159.648818480511,43307.0,1755.0,4.299767878854868,764.2214415757146,19.39869570023212
CT,US,41.5978,-72.7554,17550,1086,,16464.0,9.0,492.2464867484722,55462.0,1946.0,6.188034188034187,1555.6110910566247,11.08831908831909
DE,US,39.3185,-75.5071,2538,67,423.0,2471.0,10.0,260.6381012237051,14017.0,224.0,2.639873916469661,1439.465825395065,8.825847123719463
DC,US,38.8974,-77.0268,2666,91,608.0,2575.0,11.0,377.7546974916011,13268.0,313.0,3.413353338334584,1879.9884944930843,11.740435108777197
FL,US,27.7663,-81.6868,25492,748,,24744.0,12.0,120.06062750846505,246527.0,3842.0,2.934253883571317,1161.077448524218,15.07139494743449
GA,US,33.0406,-83.6431,17669,673,,16996.0,13.0,174.26092469243477,74208.0,3420.0,3.808930895919407,731.8781311662344,19.355934121908426
GU,US,13.4443,144.7937,136,5,110.0,131.0,66.0,82.81119656089972,1079.0,6.0,3.6764705882352944,657.0094197736088,4.411764705882354
HI,US,21.0943,-157.4983,574,9,390.0,565.0,15.0,40.542850402532586,22343.0,48.0,1.56794425087108,1578.1339835257586,8.362369337979095
ID,US,44.2405,-114.4788,1655,43,453.0,1612.0,16.0,102.76330846937313,16609.0,151.0,2.598187311178248,1031.2965500711894,9.123867069486405
IL,US,40.3495,-88.9861,29160,1259,,27901.0,17.0,248.47360432350888,137404.0,4340.0,4.3175582990397805,1170.825347341132,14.883401920438958
IN,US,39.8494,-86.2583,10641,545,,10096.0,18.0,162.60711730481415,56873.0,,5.121699088431538,869.0869826592141,
IA,US,42.0115,-93.2105,2513,74,1095.0,2439.0,19.0,95.88993529623428,22947.0,193.0,2.9446876243533624,875.6014107611172,7.680063668921607
KS,US,38.5266,-96.7265,1821,85,,1736.0,20.0,74.67742305887911,17676.0,383.0,4.667764964305327,724.875414601179,21.032399780340477
KY,US,37.6681,-84.6701,2707,144,979.0,2563.0,21.0,79.07567632780388,30596.0,1008.0,5.319541928333949,893.7567022258912,37.23679349833764
LA,US,31.1695,-91.8678,23580,1267,,22313.0,22.0,512.9135447024382,137999.0,1761.0,5.373197625106021,3001.7623517977863,7.468193384223919
ME,US,44.6939,-69.3819,847,32,382.0,815.0,23.0,72.14613894647898,14923.0,136.0,3.7780401416765055,1271.117864815001,16.056670602125152
MD,US,39.0639,-76.8021,12326,421,771.0,11905.0,24.0,207.3919777364056,65370.0,2757.0,3.4155443777381147,1099.8875210635106,22.367353561577158
MA,US,42.2302,-71.5301,36372,1404,,34968.0,25.0,529.9127068906134,156806.0,3729.0,3.8601121741999336,2284.5455822250506,10.252391949851534
MI,US,43.3266,-84.5361,30791,2308,3237.0,28483.0,26.0,386.46917340078943,99727.0,3634.0,7.49569679451788,1251.7102807879096,11.802149978889934
MN,US,45.6945,-93.9002,2209,121,1118.0,2088.0,27.0,44.65832640243116,44268.0,561.0,5.4775916704391125,894.9455831520247,25.39610683567225
MS,US,32.7416,-89.6787,3974,152,,3822.0,28.0,137.26139003580406,38765.0,782.0,3.824861600402617,1338.9375401957582,19.677906391545047
MO,US,38.4561,-92.2884,5579,197,,5382.0,29.0,95.2136171002905,53759.0,875.0,3.5310987632192146,917.474250169299,15.683814303638645
MT,US,46.9219,-110.4544,426,10,234.0,416.0,30.0,49.192424366647536,10569.0,55.0,2.347417840375587,1220.4571200260511,12.910798122065728
NE,US,41.1254,-98.2681,1249,24,,1225.0,31.0,81.88703391919606,13677.0,,1.9215372297838271,896.6925243497552,
NV,US,38.3135,-117.0554,3626,151,,3475.0,32.0,120.19768641000404,30751.0,,4.164368450082737,1019.3599158284708,
NH,US,43.4525,-71.5639,1342,38,468.0,1304.0,33.0,101.04295605610218,12852.0,190.0,2.8315946348733236,967.6632423494972,14.157973174366616
NJ,US,40.2989,-74.521,81420,4070,,77350.0,34.0,916.665822280316,162536.0,7718.0,4.998771800540409,1829.909065219276,9.479243429132893
NM,US,34.8405,-106.2485,1798,53,382.0,1745.0,35.0,107.82395310917386,35613.0,242.0,2.947719688542825,2135.6698787970013,13.459399332591767
NY,US,42.1657,-74.9481,241712,17671,23887.0,224041.0,36.0,1433.5546029971488,596532.0,54339.0,7.3107665320712245,3537.9343782480605,22.480886344078908
NC,US,35.6301,-79.8064,6328,187,,6141.0,37.0,63.803990270093145,76211.0,388.0,2.9551201011378003,768.420654626117,6.131479140328697
ND,US,47.5289,-99.784,528,9,183.0,519.0,38.0,87.06865561378456,12963.0,47.0,1.7045454545454546,2137.6344369725175,8.901515151515152
MP,US,15.0979,145.6739,14,2,9.0,12.0,69.0,25.388074858552155,56.0,,14.285714285714285,101.55229943420862,
OH,US,40.3888,-82.7649,10222,451,,9771.0,39.0,91.48136812166969,78758.0,2519.0,4.4120524359225195,704.8414782358111,24.642927020152612
OK,US,35.5653,-96.9289,2465,136,1515.0,2329.0,40.0,67.39329304134858,35536.0,541.0,5.517241379310344,971.5570229279364,21.947261663286003
OR,US,44.572,-122.0709,1844,72,,1772.0,41.0,46.018616077467,37583.0,449.0,3.9045553145336234,937.9162950322354,24.349240780911064
PA,US,40.5908,-77.2098,31652,1042,,30610.0,42.0,251.45586926455672,153965.0,2613.0,3.292051055225578,1223.1581862541855,8.255402502211549
PR,US,18.2208,-66.5901,1118,60,,1058.0,72.0,38.11266622304159,9173.0,,5.366726296958856,312.7079492522009,
RI,US,41.6809,-71.5118,4491,137,217.0,4354.0,44.0,423.9348059820968,32826.0,331.0,3.050545535515476,3098.660418875152,7.370296147851257
SC,US,33.8569,-80.945,4248,119,2633.0,4129.0,45.0,84.28613237168835,38833.0,776.0,2.8013182674199624,770.499853669909,18.267419962335214
SD,US,44.2998,-99.4388,1542,7,552.0,1535.0,46.0,209.54161751996216,11660.0,68.0,0.4539559014267186,1584.4716344246167,4.409857328145267
TN,US,35.7478,-86.6923,6589,142,3234.0,6447.0,47.0,100.36666047721157,90586.0,719.0,2.1551069965093337,1379.8473677323852,10.912126271057826
TX,US,31.0545,-97.5635,18704,476,4806.0,18228.0,48.0,81.37636389922785,176239.0,1321.0,2.5449101796407185,766.7712252585551,7.062660393498716
UT,US,40.15,-111.8624,2917,25,565.0,2892.0,49.0,101.78367427549357,59944.0,251.0,0.8570449091532396,2091.64229371621,8.604730887898526
VT,US,44.0459,-72.7107,803,38,15.0,765.0,50.0,131.5119286068743,12566.0,56.0,4.732254047322541,2058.006095733478,6.973848069738481
VI,US,18.3358,-64.8963,53,3,46.0,50.0,78.0,49.40895700488496,443.0,,5.660377358490566,412.984301003095,
VA,US,37.7693,-78.17,8053,258,1228.0,7795.0,51.0,101.84350271839823,51931.0,1307.0,3.203774990686701,656.7533763403873,16.229976406308207
WA,US,47.4009,-121.4905,11776,613,,11163.0,53.0,155.98584417867215,131627.0,518.0,5.205502717391305,1743.5418403283013,4.398777173913044
WV,US,38.4912,-80.9545,785,16,255.0,769.0,54.0,59.33493474668896,19440.0,83.0,2.0382165605095537,1469.3899764020807,10.573248407643312
WI,US,44.2685,-89.6165,4199,212,,3987.0,55.0,81.14682357242755,48161.0,1176.0,5.048821147892356,930.724498707236,28.006668254346277
WY,US,42.756,-107.3025,309,2,206.0,307.0,56.0,62.143029522966785,6522.0,50.0,0.6472491909385113,1311.6402542032015,16.181229773462785
